GIORNO,DATA,POSITIVI,DIMESSI,DECEDUTI,CASI TOTALI,Rtnazionale,P.TamponiPos,Posti no ICU,P.Posti.ICU,,V-1,V-7,V-1,V-7,V-1,V-7,V-1,V-7,M-7,V-1,V-7,V-1,V-7,V-7,V-1
127,30/06/2020,15563,190248,34767,240578,"0,84","0,29%","1,74%","1,06%",,-933,-360,1052,243,23,10,142,-53,"0,80","-0,05%","0,13%","-0,03%","0,00%","-0,12%","-0,17%"
128,01/07/2020,15255,190717,34788,240760,"0,82","0,34%","1,64%","0,99%",,-308,178,469,-189,21,0,187,-7,"0,81","-0,10%","0,03%","-0,07%","-0,04%","-0,07%","0,04%"
129,02/07/2020,15060,191083,34818,240961,"0,82","0,38%","1,54%","0,93%",,-195,268,366,-257,30,10,201,20,"0,81","-0,10%","0,03%","-0,06%","-0,02%","-0,01%","0,04%"
130,03/07/2020,14884,191467,34833,241184,"0,82","0,45%","1,53%","0,90%",,-176,217,384,-166,15,-3,223,48,"0,81","-0,01%","0,08%","-0,03%","0,01%","0,06%","0,07%"
131,04/07/2020,14621,191944,34854,241419,"0,83","0,45%","1,50%","0,81%",,-263,53,477,-3,21,1,235,51,"0,81","-0,03%","0,05%","-0,09%","-0,05%","0,05%","0,01%"
132,05/07/2020,14642,192108,34861,241611,"0,84","0,51%","1,51%","0,84%",,21,312,164,-296,7,-11,192,5,"0,82","0,01%","0,06%","0,03%","0,07%","0,10%","0,06%"
133,06/07/2020,14709,192241,34869,241819,"0,85","0,94%","1,51%","0,82%",,67,322,133,-302,8,-10,208,10,"0,82","0,00%","0,04%","-0,02%","0,02%","0,46%","0,43%"
134,07/07/2020,14242,192815,34899,241956,"0,87","0,32%","1,50%","0,80%",,-467,-278,574,207,30,11,138,-60,"0,83","-0,01%","0,02%","-0,02%","0,01%","-0,16%","-0,62%"
135,08/07/2020,13595,193640,34914,242149,"0,88","0,38%","1,44%","0,81%",,-647,-410,825,407,15,-3,193,-6,"0,84","-0,07%","-0,04%","0,01%","0,04%","-0,11%","0,06%"
136,09/07/2020,13459,193978,34926,242363,"0,88","0,44%","1,39%","0,78%",,-136,93,338,-76,12,-3,229,26,"0,84","-0,04%","-0,02%","-0,02%","0,00%","-0,06%","0,05%"
137,10/07/2020,13428,194273,34938,242639,"0,89","0,58%","1,35%","0,74%",,-31,177,295,-106,12,-3,276,66,"0,85","-0,04%","-0,02%","-0,05%","-0,02%","0,06%","0,14%"
138,11/07/2020,13303,194579,34945,242827,"0,90","0,41%","1,32%","0,76%",,-125,63,306,-70,7,-6,188,-15,"0,85","-0,03%","0,00%","0,02%","0,03%","-0,10%","-0,17%"
139,12/07/2020,13179,194928,34954,243061,"0,90","0,61%","1,24%","0,77%",,-124,85,349,-54,9,-4,234,25,"0,86","-0,08%","-0,04%","0,01%","0,02%","0,09%","0,20%"
140,13/07/2020,13157,195106,34967,243230,"0,90","0,71%","1,23%","0,74%",,-22,200,178,-231,13,-1,169,-35,"0,86","-0,01%","0,03%","-0,03%","-0,02%","0,21%","0,09%"
141,14/07/2020,12919,195441,34984,243344,"0,90","0,27%","1,24%","0,68%",,-238,-49,335,-40,17,5,114,-86,"0,86","0,01%","0,05%","-0,06%","-0,04%","-0,21%","-0,43%"
142,15/07/2020,12493,196016,34997,243506,"0,90","0,34%","1,27%","0,65%",,-426,-269,575,236,13,1,163,-33,"0,87","0,03%","0,06%","-0,03%","-0,01%","-0,14%","0,06%"
143,16/07/2020,12473,196246,35017,243736,"0,91","0,46%","1,20%","0,60%",,-20,121,230,-94,20,7,230,34,"0,88","-0,08%","-0,05%","-0,05%","-0,02%","-0,03%","0,12%"
144,17/07/2020,12456,196483,35028,243967,"0,91","0,46%","1,23%","0,57%",,-17,122,237,-79,11,-2,233,43,"0,88","0,03%","0,05%","-0,03%","-0,01%","-0,01%","0,00%"
145,18/07/2020,12368,196806,35042,244216,"0,92","0,52%","1,21%","0,57%",,-88,46,323,5,14,0,249,50,"0,89","-0,02%","-0,01%","0,00%","0,03%","0,04%","0,06%"
146,19/07/2020,12440,196949,35045,244434,"0,92","0,62%","1,19%","0,56%",,72,178,143,-146,3,-10,219,22,"0,90","-0,02%","-0,01%","-0,01%","0,02%","0,14%","0,10%"
147,20/07/2020,12404,197162,35058,244624,"0,93","0,78%","1,19%","0,53%",,-36,72,213,-81,13,0,190,-10,"0,90","0,00%","0,01%","-0,02%","0,01%","0,29%","0,17%"
148,21/07/2020,12248,197431,35073,244752,"0,93","0,30%","1,17%","0,56%",,-156,-60,269,-15,15,2,129,-73,"0,91","-0,02%","-0,01%","0,02%","0,04%","-0,20%","-0,48%"
149,22/07/2020,12322,197628,35082,245032,"0,95","0,57%","1,16%","0,55%",,74,98,197,-33,9,-3,282,63,"0,91","-0,01%","0,00%","-0,01%","0,00%","0,04%","0,27%"
150,23/07/2020,12404,197842,35092,245338,"0,96","0,51%","1,14%","0,56%",,82,92,214,-14,10,-1,306,76,"0,92","-0,02%","-0,01%","0,01%","0,02%","-0,03%","-0,06%"
151,24/07/2020,12301,198192,35097,245590,"0,96","0,47%","1,14%","0,52%",,-103,-81,350,106,5,-5,252,20,"0,92","0,00%","0,01%","-0,03%","-0,03%","-0,07%","-0,03%"
152,25/07/2020,12442,198320,35102,245864,"0,97","0,53%","1,17%","0,47%",,141,130,128,-88,5,-4,275,39,"0,93","0,03%","0,03%","-0,06%","-0,04%","-0,01%","0,06%"
153,26/07/2020,12565,198446,35107,246118,"0,98","0,63%","1,18%","0,50%",,123,105,126,-88,5,-4,255,14,"0,93","0,01%","0,01%","0,03%","0,04%","0,09%","0,10%"
154,27/07/2020,12581,198593,35112,246286,"0,99","0,67%","1,18%","0,51%",,16,-9,147,-57,5,-3,170,-68,"0,94","0,01%","0,01%","0,01%","0,01%","0,14%","0,04%"
155,28/07/2020,12609,198756,35123,246488,"1,00","0,44%","1,20%","0,45%",,28,-24,163,-26,11,4,212,-38,"0,95","0,01%","0,01%","-0,06%","-0,04%","-0,11%","-0,23%"
156,29/07/2020,12616,199031,35129,246776,"1,01","0,52%","1,17%","0,43%",,7,-35,275,75,6,-1,289,38,"0,95","-0,03%","-0,03%","-0,02%","-0,01%","-0,02%","0,08%"
157,30/07/2020,12230,199796,35132,247158,"1,01","0,62%","1,20%","0,53%",,-386,-361,765,486,3,-3,386,123,"0,96","0,03%","0,02%","0,10%","0,11%","0,07%","0,11%"
158,31/07/2020,12422,199974,35141,247537,"1,01","0,62%","1,14%","0,47%",,192,175,178,-77,9,3,379,98,"0,97","-0,05%","-0,05%","-0,07%","-0,06%","0,05%","0,00%"
159,01/08/2020,12457,200229,35146,247832,"1,01","0,49%","1,13%","0,49%",,35,33,255,-18,5,-1,295,11,"0,97","-0,02%","-0,01%","0,02%","0,02%","-0,08%","-0,13%"
160,02/08/2020,12456,200460,35154,248070,"1,01","0,55%","1,13%","0,48%",,-1,15,231,-57,8,1,239,-42,"0,98","0,00%","0,01%","-0,01%","-0,01%","-0,01%","0,06%"
161,03/08/2020,12474,200589,35166,248229,"1,00","0,66%","1,17%","0,47%",,18,33,129,-156,12,4,159,-121,"0,99","0,04%","0,04%","-0,01%","0,00%","0,10%","0,11%"
162,04/08/2020,12482,200766,35171,248419,"1,00","0,43%","1,22%","0,47%",,8,26,177,-110,5,-2,190,-87,"0,99","0,04%","0,04%","0,00%","0,00%","-0,12%","-0,23%"
163,05/08/2020,12646,200976,35181,248803,"1,00","0,68%","1,22%","0,47%",,164,160,210,-68,10,3,384,94,"0,99","0,00%","0,00%","0,00%","0,00%","0,10%","0,25%"
164,06/08/2020,12694,201323,35187,249204,"1,00","0,69%","1,22%","0,48%",,48,-18,347,129,6,-2,402,109,"1,00","0,00%","-0,01%","0,01%","0,02%","0,10%","0,00%"
165,07/08/2020,12924,201642,35190,249756,"1,01","0,93%","1,25%","0,48%",,230,158,319,81,3,-4,552,235,"1,00","0,03%","0,01%","0,00%","0,00%","0,30%","0,25%"
166,08/08/2020,12953,201947,35203,250103,"1,01","0,65%","1,23%","0,49%",,29,-42,305,60,13,5,347,22,"1,00","-0,01%","-0,03%","0,01%","0,01%","-0,01%","-0,28%"
167,09/08/2020,13263,202098,35205,250566,"1,02","1,23%","1,22%","0,51%",,310,195,151,-83,2,-5,463,106,"1,01","-0,01%","-0,03%","0,02%","0,02%","0,48%","0,58%"
168,10/08/2020,13368,202248,35209,250825,"1,03","0,98%","1,25%","0,52%",,105,-23,150,-87,4,-2,259,-112,"1,01","0,03%","0,02%","0,01%","0,00%","0,18%","-0,25%"
169,11/08/2020,13561,202461,35215,251237,"1,04","1,01%","1,28%","0,56%",,193,39,213,-29,6,0,412,9,"1,01","0,04%","0,03%","0,03%","0,02%","0,13%","0,03%"
170,12/08/2020,13791,202697,35225,251713,"1,05","0,91%","1,25%","0,60%",,230,66,236,-10,10,4,481,64,"1,01","-0,04%","-0,04%","0,05%","0,03%","0,00%","-0,10%"
171,13/08/2020,14081,202923,35231,252235,"1,05","1,02%","1,26%","0,62%",,290,92,226,-3,6,0,523,89,"1,02","0,01%","0,01%","0,02%","0,00%","0,06%","0,11%"
172,14/08/2020,14249,203326,35234,252809,"1,06","1,23%","1,23%","0,64%",,168,-21,403,162,3,-3,574,137,"1,02","-0,02%","-0,02%","0,01%","-0,01%","0,22%","0,21%"
173,15/08/2020,14406,203640,35392,253438,"1,06","1,18%","1,22%","0,62%",,157,-51,314,72,158,131,629,152,"1,02","-0,01%","-0,01%","-0,01%","-0,03%","0,10%","-0,04%"
174,16/08/2020,14733,203786,35396,253915,"1,07","1,30%","1,26%","0,64%",,327,117,146,-95,4,-23,479,-1,"1,03","0,04%","0,03%","0,01%","-0,01%","0,21%","0,12%"
175,17/08/2020,14867,203968,35400,254235,"1,07","1,04%","1,30%","0,66%",,134,-80,182,-64,4,-23,320,-168,"1,03","0,04%","0,03%","0,02%","0,00%","-0,06%","-0,26%"
176,18/08/2020,15089,204142,35405,254636,"1,08","0,75%","1,35%","0,66%",,222,4,174,-66,5,-22,403,-84,"1,04","0,05%","0,04%","0,00%","-0,01%","-0,32%","-0,30%"
177,19/08/2020,15360,204506,35412,255278,"1,08","0,90%","1,38%","0,75%",,271,47,364,106,7,-20,642,132,"1,05","0,04%","0,02%","0,09%","0,07%","-0,16%","0,16%"
178,20/08/2020,16014,204686,35418,256118,"1,08","1,09%","1,41%","0,77%",,654,378,180,-72,6,-21,845,289,"1,05","0,03%","0,01%","0,02%","0,00%","0,02%","0,19%"
179,21/08/2020,16678,204960,35427,257065,"1,08","1,32%","1,47%","0,78%",,664,317,274,41,9,-19,947,338,"1,06","0,06%","0,02%","0,01%","-0,01%","0,23%","0,22%"
180,22/08/2020,17503,205203,35430,258136,"1,08","1,38%","1,48%","0,73%",,825,383,243,20,3,-2,1071,399,"1,06","0,01%","-0,03%","-0,06%","-0,07%","0,27%","0,06%"
181,23/08/2020,18438,205470,35437,259345,"1,08","1,80%","1,55%","0,78%",,935,406,267,26,7,1,1210,433,"1,07","0,08%","0,03%","0,06%","0,04%","0,61%","0,42%"
182,24/08/2020,19195,205662,35441,260298,"1,09","2,08%","1,67%","0,74%",,757,139,192,-50,4,-2,953,86,"1,07","0,12%","0,06%","-0,05%","-0,06%","0,75%","0,28%"
183,25/08/2020,19714,206015,35445,261174,"1,10","1,21%","1,69%","0,75%",,519,-142,353,85,4,-2,878,-57,"1,07","0,02%","-0,03%","0,01%","0,00%","-0,18%","-0,86%"
184,26/08/2020,20753,206329,35458,262540,"1,11","1,46%","1,69%","0,78%",,1039,269,314,54,13,6,1367,328,"1,08","0,00%","-0,05%","0,03%","0,03%","-0,01%","0,25%"
185,27/08/2020,21932,206554,35463,263949,"1,12","1,50%","1,81%","0,76%",,1179,334,225,-42,5,-1,1411,291,"1,08","0,12%","0,06%","-0,02%","-0,02%","-0,03%","0,04%"
186,28/08/2020,23035,206902,35472,265409,"1,13","1,51%","1,88%","0,84%",,1103,195,348,71,9,3,1462,269,"1,09","0,08%","0,02%","0,08%","0,07%","-0,06%","0,01%"
187,29/08/2020,24156,207224,35473,266853,"1,14","1,46%","1,87%","0,90%",,1121,171,322,33,1,-5,1444,198,"1,09","-0,02%","-0,07%","0,06%","0,03%","-0,12%","-0,05%"
188,30/08/2020,25205,207536,35477,268218,"1,16","1,78%","2,00%","0,98%",,1049,82,312,17,4,-2,1365,96,"1,10","0,13%","0,07%","0,08%","0,05%","0,21%","0,32%"
189,31/08/2020,26078,207653,35483,269214,"1,18","1,70%","2,06%","1,07%",,873,-110,117,-167,6,0,996,-279,"1,11","0,06%","0,00%","0,09%","0,04%","0,18%","-0,08%"
190,01/09/2020,26754,207944,35491,270189,"1,20","1,21%","2,21%","1,22%",,676,-330,291,15,8,1,978,-311,"1,12","0,15%","0,07%","0,15%","0,08%","-0,31%","-0,50%"
191,02/09/2020,27817,208201,35497,271515,"1,22","1,29%","2,30%","1,24%",,1063,54,257,-10,6,0,1326,43,"1,13","0,09%","0,00%","0,02%","-0,04%","-0,20%","0,08%"
192,03/09/2020,28915,208490,35507,272912,"1,23","1,51%","2,41%","1,36%",,1098,100,289,12,10,4,1397,116,"1,14","0,11%","0,02%","0,12%","0,04%","0,01%","0,22%"
193,04/09/2020,30099,209027,35518,274644,"1,22","1,53%","2,57%","1,37%",,1184,175,537,233,11,4,1733,413,"1,15","0,16%","0,07%","0,01%","-0,06%","0,04%","0,03%"
194,05/09/2020,31194,209610,35533,276337,"1,21","1,57%","2,59%","1,37%",,1095,90,583,242,15,6,1694,338,"1,16","0,02%","-0,08%","0,00%","-0,07%","0,06%","0,04%"
195,06/09/2020,32078,210015,35541,277634,"1,21","1,69%","2,69%","1,51%",,884,-98,405,51,8,-1,1297,-49,"1,17","0,10%","0,00%","0,14%","0,06%","0,19%","0,11%"
196,07/09/2020,32993,210238,35553,278784,"1,21","2,11%","2,75%","1,61%",,915,-73,223,-146,12,2,1108,-254,"1,17","0,06%","-0,04%","0,10%","0,02%","0,55%","0,42%"
197,08/09/2020,33789,210801,35563,280153,"1,19","1,48%","2,81%","1,62%",,796,-209,563,155,10,0,1370,-48,"1,18","0,07%","-0,02%","0,01%","-0,05%","-0,11%","-0,63%"
198,09/09/2020,34734,211272,35577,281583,"1,18","1,49%","2,84%","1,70%",,945,-43,471,32,14,3,1434,1,"1,19","0,03%","-0,05%","0,08%","0,01%","-0,13%","0,01%"
199,10/09/2020,35708,211885,35587,283180,"1,18","1,70%","2,94%","1,86%",,974,4,613,128,10,-1,1597,135,"1,19","0,09%","0,02%","0,16%","0,09%","0,04%","0,20%"
200,11/09/2020,36767,212432,35597,284796,"1,18","1,63%","2,96%","1,99%",,1059,106,547,61,10,-1,1616,171,"1,19","0,02%","-0,03%","0,12%","0,04%","-0,03%","-0,06%"
201,12/09/2020,37503,213191,35603,286297,"1,18","1,62%","3,12%","2,07%",,736,-165,759,247,6,-4,1501,83,"1,20","0,16%","0,09%","0,08%","-0,02%","-0,06%","-0,02%"
202,13/09/2020,38509,213634,35610,287753,"1,17","2,02%","3,27%","2,12%",,1006,87,443,-74,7,-3,1458,17,"1,20","0,15%","0,06%","0,06%","-0,03%","0,30%","0,40%"
203,14/09/2020,39187,213950,35624,288761,"1,17","2,22%","3,39%","2,24%",,678,-207,316,-214,14,4,1008,-418,"1,20","0,13%","0,04%","0,11%","0,02%","0,49%","0,20%"
204,15/09/2020,39712,214645,35633,289990,"1,17","1,53%","3,55%","2,28%",,525,-321,695,146,9,-1,1229,-177,"1,19","0,16%","0,05%","0,05%","-0,05%","-0,22%","-0,70%"
205,16/09/2020,40532,215265,35645,291442,"1,16","1,44%","3,65%","2,35%",,820,-8,620,50,12,2,1452,43,"1,19","0,10%","-0,02%","0,07%","-0,02%","-0,29%","-0,08%"
206,17/09/2020,41413,215954,35658,293025,"1,15","1,56%","3,75%","2,41%",,881,66,689,108,13,3,1585,178,"1,18","0,10%","-0,02%","0,06%","-0,02%","-0,16%","0,11%"
207,18/09/2020,42457,216807,35668,294932,"1,14","1,91%","3,82%","2,36%",,1044,231,853,228,10,0,1907,458,"1,18","0,06%","-0,06%","-0,05%","-0,10%","0,15%","0,35%"
208,19/09/2020,43161,217716,35692,296569,"1,13","1,59%","3,81%","2,44%",,704,-104,909,263,24,11,1638,170,"1,17","-0,01%","-0,11%","0,08%","0,03%","-0,17%","-0,32%"
209,20/09/2020,44098,218351,35707,298156,"1,12","1,90%","3,78%","2,52%",,937,139,635,-39,15,1,1587,100,"1,17","-0,02%","-0,10%","0,08%","0,02%","0,17%","0,32%"
210,21/09/2020,45079,218703,35724,299506,"1,12","2,42%","3,96%","2,64%",,981,139,352,-327,17,3,1350,-185,"1,16","0,18%","0,10%","0,11%","0,06%","0,65%","0,51%"
211,22/09/2020,45489,219670,35738,300897,"1,11","1,59%","4,16%","2,71%",,410,-415,967,249,14,-1,1392,-167,"1,15","0,21%","0,12%","0,08%","0,02%","-0,18%","-0,82%"
212,23/09/2020,46114,220665,35758,302537,"1,11","1,58%","4,25%","2,77%",,625,-172,995,224,20,4,1640,54,"1,15","0,09%","0,00%","0,06%","0,00%","-0,21%","-0,01%"
213,24/09/2020,46780,221762,35781,304323,"1,10","1,65%","4,37%","2,79%",,666,-101,1097,267,23,5,1786,172,"1,14","0,12%","0,03%","0,02%","-0,03%","-0,15%","0,07%"
214,25/09/2020,47718,222716,35801,306235,"1,10","1,78%","4,38%","2,77%",,938,186,954,110,20,1,1912,297,"1,14","0,01%","-0,07%","-0,02%","-0,08%","-0,01%","0,13%"
215,26/09/2020,48593,223693,35818,308104,"1,10","1,79%","4,39%","2,81%",,875,99,977,123,17,-1,1869,221,"1,13","0,01%","-0,07%","0,03%","-0,02%","-0,03%","0,01%"
216,27/09/2020,49618,224417,35835,309870,"1,10","2,01%","4,55%","2,89%",,1025,236,724,-143,17,-1,1766,92,"1,13","0,16%","0,05%","0,08%","0,03%","0,18%","0,22%"
217,28/09/2020,50323,225190,35851,311364,"1,09","2,92%","4,76%","3,00%",,705,-44,773,-154,16,-2,1494,-200,"1,12","0,21%","0,09%","0,11%","0,06%","1,02%","0,91%"
218,29/09/2020,50630,226506,35875,313011,"1,09","1,83%","4,87%","3,08%",,307,-427,1316,339,24,4,1648,-83,"1,12","0,11%","0,01%","0,08%","0,03%","-0,11%","-1,10%"
219,30/09/2020,51263,227704,35894,314861,"1,08","1,75%","4,87%","3,18%",,633,-103,1198,192,19,0,1851,90,"1,11","0,00%","-0,09%","0,10%","0,04%","-0,21%","-0,07%"
220,01/10/2020,52647,228844,35918,317409,"1,08","2,16%","4,95%","3,31%",,1384,546,1140,128,24,4,2548,678,"1,11","0,08%","0,00%","0,12%","0,05%","0,12%","0,40%"
221,02/10/2020,53997,229970,35941,319908,"1,08","2,08%","5,02%","3,34%",,1350,453,1126,90,23,3,2499,545,"1,10","0,07%","-0,02%","0,03%","-0,05%","0,00%","-0,08%"
222,03/10/2020,55566,231217,35968,322751,"1,07","2,39%","5,12%","3,37%",,1569,573,1247,172,27,6,2844,751,"1,10","0,10%","0,00%","0,03%","-0,05%","0,23%","0,31%"
223,04/10/2020,57429,231914,35986,325329,"1,07","2,78%","5,26%","3,44%",,1863,747,697,-374,18,-4,2578,369,"1,09","0,13%","0,03%","0,07%","-0,01%","0,51%","0,39%"
224,05/10/2020,58903,232681,36002,327586,"1,08","3,75%","5,58%","3,67%",,1474,248,767,-303,16,-6,2257,-61,"1,09","0,32%","0,20%","0,23%","0,13%","1,36%","0,97%"
225,06/10/2020,60134,234099,36030,330263,"1,08","2,68%","5,80%","3,62%",,1231,-127,1418,333,28,6,2677,212,"1,09","0,22%","0,09%","-0,05%","-0,12%","0,17%","-1,06%"
226,07/10/2020,62576,235303,36061,333940,"1,08","2,94%","6,05%","3,83%",,2442,826,1204,118,31,7,3678,952,"1,09","0,25%","0,08%","0,20%","0,11%","0,25%","0,25%"
227,08/10/2020,65952,236363,36083,338398,"1,09","3,48%","6,28%","4,07%",,3376,1475,1060,-14,22,-2,4458,1459,"1,09","0,23%","0,04%","0,24%","0,13%","0,61%","0,55%"
228,09/10/2020,70110,237549,36111,343770,"1,09","4,15%","6,53%","4,40%",,4158,1856,1186,103,28,4,5372,1963,"1,08","0,26%","0,04%","0,33%","0,18%","0,98%","0,67%"
229,10/10/2020,74829,238525,36140,349494,"1,09","4,30%","6,93%","4,43%",,4719,1967,976,-68,29,4,5724,1903,"1,08","0,40%","0,14%","0,03%","-0,12%","0,86%","0,15%"
230,11/10/2020,79075,239709,36166,354950,"1,10","5,21%","7,23%","4,77%",,4246,1154,1184,70,26,0,5456,1224,"1,08","0,29%","0,01%","0,34%","0,15%","1,43%","0,91%"
231,12/10/2020,82764,240600,36205,359569,"1,11","5,41%","7,71%","5,13%",,3689,280,891,-240,39,10,4619,50,"1,09","0,48%","0,18%","0,36%","0,15%","1,38%","0,19%"
232,13/10/2020,87193,242028,36246,365467,"1,12","5,24%","8,12%","5,84%",,4429,563,1428,295,41,10,5901,871,"1,09","0,41%","0,08%","0,70%","0,39%","0,85%","-0,16%"
233,14/10/2020,92445,244065,36289,372799,"1,12","4,82%","8,75%","6,12%",,5252,985,2037,785,43,10,7332,1780,"1,09","0,63%","0,24%","0,28%","-0,04%","0,16%","-0,43%"
234,15/10/2020,99266,245964,36372,381602,"1,13","5,40%","9,27%","6,66%",,6821,2062,1899,527,83,42,8804,2631,"1,09","0,52%","0,09%","0,53%","0,16%","0,47%","0,59%"
235,16/10/2020,107312,247872,36427,391611,"1,13","6,66%","9,88%","7,25%",,8046,2731,1908,433,55,10,10010,3175,"1,10","0,61%","0,13%","0,59%","0,18%","1,37%","1,25%"
236,17/10/2020,116935,249127,36474,402536,"1,13","6,59%","10,58%","8,01%",,9623,3608,1255,-260,47,-1,10925,3347,"1,10","0,70%","0,18%","0,76%","0,25%","0,97%","-0,07%"
237,18/10/2020,126237,251461,36543,414241,"1,13","7,99%","11,40%","8,52%",,9302,2565,2334,655,69,15,11705,3234,"1,11","0,82%","0,23%","0,51%","-0,02%","1,97%","1,40%"
238,19/10/2020,134003,252959,36616,423578,"1,14","9,45%","12,27%","9,05%",,7766,446,1498,-268,73,14,9338,193,"1,11","0,87%","0,22%","0,53%","-0,03%","2,85%","1,46%"
239,20/10/2020,142739,255005,36705,434449,"1,15","7,51%","13,52%","9,88%",,8736,801,2046,192,89,23,10874,1019,"1,12","1,24%","0,47%","0,83%","0,25%","0,60%","-1,93%"
240,21/10/2020,155442,257374,36832,449648,"1,15","8,55%","14,48%","10,52%",,12703,3703,2369,468,127,49,15199,4220,"1,12","0,96%","0,14%","0,64%","0,01%","1,10%","1,03%"
241,22/10/2020,169302,259456,36968,465726,"1,15","9,44%","15,50%","11,27%",,13860,3855,2082,155,136,51,16079,4060,"1,12","1,02%","0,13%","0,75%","0,09%","1,41%","0,89%"
242,23/10/2020,186002,261808,37059,484869,"1,15","10,52%","16,87%","11,92%",,16700,5459,2352,361,91,1,19143,5820,"1,13","1,37%","0,37%","0,65%","-0,02%","1,94%","1,08%"
243,24/10/2020,203182,264117,37210,504509,"1,16","11,06%","18,05%","12,81%",,17180,4859,2309,168,151,46,19644,5075,"1,13","1,18%","0,11%","0,90%","0,21%","1,84%","0,54%"
244,25/10/2020,222241,266203,37338,525782,"1,16","13,14%","19,20%","13,72%",,19059,5344,2086,-20,128,14,21273,5337,"1,14","1,15%","0,04%","0,91%","0,17%","3,19%","2,08%"
245,26/10/2020,236684,268626,37479,542789,"1,17","13,64%","20,78%","14,58%",,14443,-226,2423,185,141,18,17012,-20,"1,14","1,58%","0,37%","0,86%","0,07%","3,09%","0,50%"
246,27/10/2020,255090,271988,37700,564778,"1,17","12,61%","22,31%","16,03%",,18406,2356,3362,936,221,79,21994,3373,"1,15","1,53%","0,28%","1,44%","0,56%","1,33%","-1,03%"
247,28/10/2020,276457,275404,37905,589766,"1,18","12,56%","23,95%","17,45%",,21367,4079,3416,840,205,52,24991,4972,"1,15","1,64%","0,29%","1,42%","0,43%","0,71%","-0,05%"
248,29/10/2020,299191,279282,38122,616595,"1,18","13,32%","25,53%","18,75%",,22734,4178,3878,1046,217,52,26831,5276,"1,15","1,57%","0,14%","1,31%","0,24%","0,91%","0,76%"
249,30/10/2020,325786,283567,38321,647674,"1,18","14,45%","27,17%","19,83%",,26595,6626,4285,1177,199,19,31084,7823,"1,16","1,65%","0,17%","1,08%","-0,05%","1,48%","1,13%"
250,31/10/2020,351386,289426,38618,679430,"1,19","14,71%","28,73%","20,93%",,25600,4428,5859,2243,297,96,31758,6766,"1,16","1,55%","0,03%","1,10%","-0,06%","1,22%","0,26%"
251,01/11/2020,378129,292380,38826,709335,"1,19","16,30%","30,22%","22,02%",,26743,4473,2954,-786,208,-5,29907,3682,"1,17","1,50%","-0,08%","1,09%","-0,10%","2,36%","1,59%"
252,02/11/2020,396512,296017,39059,731588,"1,21","16,39%","31,72%","22,97%",,18383,-4450,3637,-276,233,7,22253,-4721,"1,17","1,50%","-0,06%","0,94%","-0,25%","2,06%","0,09%"
253,03/11/2020,418142,302275,39412,759829,"1,22","15,49%","33,76%","25,27%",,21630,-1663,6258,1931,353,108,28244,377,"1,18","2,04%","0,40%","2,31%","0,98%","0,75%","-0,90%"
254,04/11/2020,443235,307378,39747,790377,"1,23","14,42%","35,36%","26,03%",,25093,1268,5103,535,335,72,30550,1889,"1,18","1,60%","-0,03%","0,76%","-0,47%","-0,59%","-1,07%"
255,05/11/2020,472348,312339,40192,824879,"1,23","15,69%","37,19%","27,16%",,29113,4376,4961,239,445,149,34505,4748,"1,19","1,82%","0,16%","1,12%","-0,08%","0,34%","1,27%"
