GIORNO,DATA,POSITIVI,DIMESSI,DECEDUTI,CASI TOTALI,Rtnazionale,P.TamponiPos,Posti no ICU,P.Posti.ICU,,V-1,V-7,V-1,V-7,V-1,V-7,V-1,V-7,M-7,V-1,V-7,V-1,V-7,V-7,V-1
256,06/11/2020,499118,322925,40638,862681,"1,23","16,14%","38,38%","28,57%",,26770,2008,10586,4963,446,115,37809,7091,"1,19","1,20%","-0,40%","1,41%","0,16%","0,55%","0,45%"
257,07/11/2020,532536,328891,41063,902490,"1,22","17,18%","40,15%","29,92%",,33418,7539,5966,328,425,76,39811,7943,"1,20","1,77%","0,13%","1,35%","0,07%","1,24%","1,04%"
258,08/11/2020,558636,335074,41394,935104,"1,23","17,06%","42,28%","31,22%",,26100,313,6183,84,331,-36,32616,361,"1,20","2,13%","0,41%","1,31%","-0,01%","1,01%","-0,12%"
259,09/11/2020,573334,345289,41750,960373,"1,23","17,11%","44,19%","32,36%",,14698,-10562,10215,3176,356,-28,25271,-7416,"1,21","1,91%","0,13%","1,14%","-0,21%","0,95%","0,04%"
260,10/11/2020,590110,363023,42330,995463,"1,22","16,12%","45,78%","33,75%",,16776,-7791,17734,9056,580,163,35098,1432,"1,21","1,59%","-0,12%","1,39%","0,18%","-0,13%","-0,99%"
261,11/11/2020,613358,372113,42953,1028424,"1,21","14,61%","47,08%","35,00%",,23248,-1055,9090,-158,623,165,32961,-1049,"1,21","1,30%","-0,38%","1,25%","-0,03%","-1,67%","-1,51%"
262,12/11/2020,635054,387758,43589,1066401,"1,20","16,18%","47,77%","36,01%",,21696,-1548,15645,4871,636,151,37978,3472,"1,21","0,69%","-0,83%","1,01%","-0,25%","-0,16%","1,58%"
263,13/11/2020,663926,399238,44139,1107303,"1,19","16,05%","49,43%","36,69%",,28872,5328,11480,578,550,50,40902,5954,"1,21","1,66%","0,09%","0,68%","-0,48%","-0,28%","-0,14%"
264,14/11/2020,688435,411434,44683,1144552,"1,19","16,36%","50,21%","37,55%",,24509,2238,12196,404,544,27,37255,2672,"1,21","0,77%","-0,66%","0,86%","-0,23%","0,15%","0,32%"
265,15/11/2020,712490,420810,45229,1178529,"1,18","17,40%","51,24%","38,87%",,24055,2076,9376,-2872,546,-2,33979,-799,"1,21","1,04%","-0,24%","1,32%","0,23%","1,14%","1,04%"
266,16/11/2020,717784,442364,45733,1205881,"1,17","17,92%","52,03%","39,66%",,5294,-15342,21554,7686,504,-65,27354,-7721,"1,21","0,78%","-0,34%","0,80%","-0,25%","1,54%","0,52%"
267,17/11/2020,733810,457798,46464,1238072,"1,16","15,44%","52,89%","41,03%",,16026,-4503,15434,1895,731,140,32191,-2469,"1,21","0,86%","-0,15%","1,36%","0,32%","-0,84%","-2,48%"
268,18/11/2020,743168,481967,47217,1272352,"1,15","14,60%","53,57%","41,69%",,9358,-9186,24169,8476,753,144,34282,-567,"1,20","0,69%","-0,24%","0,66%","-0,30%","-1,68%","-0,84%"
269,19/11/2020,761671,498987,47870,1308528,"1,14","14,46%","53,74%","42,16%",,18503,415,17020,1130,653,41,36176,1585,"1,19","0,17%","-0,68%","0,48%","-0,40%","-1,57%","-0,14%"
270,20/11/2020,777176,520022,48569,1345767,"1,13","15,64%","54,30%","42,57%",,15505,-674,21035,3780,699,66,37242,3174,"1,19","0,55%","-0,14%","0,41%","-0,43%","-0,33%","1,18%"
271,21/11/2020,791746,539524,49261,1380531,"1,13","14,66%","54,47%","42,69%",,14570,-189,19502,1203,692,38,34767,1054,"1,18","0,17%","-0,44%","0,11%","-0,62%","-1,08%","-0,99%"
272,22/11/2020,805947,553098,49823,1408868,"1,12","15,01%","54,81%","43,17%",,14201,850,13574,-5324,562,-94,28337,-4570,"1,17","0,35%","-0,16%","0,49%","-0,13%","-0,38%","0,36%"
273,23/11/2020,796849,584493,50453,1431795,"1,11","15,39%","55,48%","43,28%",,-9098,-20393,31395,11091,630,-44,22930,-9345,"1,16","0,67%","0,17%","0,10%","-0,41%","0,37%","0,38%"
274,24/11/2020,798386,605330,51306,1455022,"1,10","12,31%","55,29%","43,34%",,1537,-7688,20837,-239,853,161,23232,-7763,"1,16","-0,19%","-0,54%","0,07%","-0,26%","-2,27%","-3,08%"
275,25/11/2020,791697,637149,52028,1480874,"1,09","11,24%","54,87%","43,71%",,-6689,-13622,31819,9650,722,35,25853,-3938,"1,15","-0,42%","-0,61%","0,36%","0,07%","-2,86%","-1,07%"
276,26/11/2020,795845,661180,52850,1509875,"1,07","12,46%","54,43%","43,68%",,4148,-734,24031,861,822,111,29003,237,"1,14","-0,44%","-0,54%","-0,02%","-0,24%","-1,35%","1,22%"
277,27/11/2020,787893,696647,53677,1538217,"1,06","12,73%","53,86%","42,96%",,-7952,-9483,35467,10235,827,97,28352,856,"1,13","-0,57%","-0,50%","-0,73%","-0,78%","-0,68%","0,26%"
278,28/11/2020,789308,720861,54363,1564532,"1,05","11,65%","53,25%","42,73%",,1415,1763,24214,-1691,686,-43,26323,33,"1,12","-0,62%","-0,44%","-0,23%","-0,23%","-1,32%","-1,07%"
279,29/11/2020,795771,734503,54904,1585178,"1,03","11,67%","52,57%","42,63%",,6463,7917,13642,-12273,541,-185,20648,-4544,"1,11","-0,67%","-0,35%","-0,10%","-0,02%","-0,82%","0,02%"
280,30/11/2020,788471,757507,55576,1601554,"1,02","12,55%","53,07%","42,53%",,-7300,-6103,23004,-1712,672,-60,16377,-7878,"1,10","0,49%","0,84%","-0,10%","0,00%","0,46%","0,88%"
281,01/12/2020,779945,784595,56361,1620901,"1,01","10,63%","52,46%","41,61%",,-8526,-5892,27088,1479,785,63,19350,-4351,"1,09","-0,60%","-0,20%","-0,92%","-0,67%","-1,22%","-1,92%"
282,02/12/2020,761230,823335,57045,1641610,"1,00","10,00%","51,89%","41,07%",,-18715,-14363,38740,12142,684,-33,20709,-2257,"1,08","-0,57%","-0,15%","-0,53%","-0,16%","-1,67%","-0,63%"
283,03/12/2020,759982,846809,58038,1664829,"0,99","10,55%","50,80%","40,86%",,-1248,3875,23474,-3044,993,252,23225,1084,"1,07","-1,09%","-0,57%","-0,22%","0,19%","-0,84%","0,56%"
284,04/12/2020,757702,872385,58852,1688939,"0,99","11,33%","49,89%","40,52%",,-2280,2033,25576,471,814,75,24099,2566,"1,06","-0,91%","-0,35%","-0,34%","0,01%","0,13%","0,77%"
285,05/12/2020,754169,896308,59514,1709991,"0,98","10,80%","48,22%","39,95%",,-3533,1487,23923,-1141,662,-74,21052,272,"1,04","-1,67%","-0,95%","-0,57%","-0,17%","-0,28%","-0,53%"
286,06/12/2020,755306,913494,60078,1728878,"0,98","11,55%","48,60%","39,23%",,1137,6918,17186,-8384,564,-175,18887,-1641,"1,03","0,37%","0,94%","-0,72%","-0,23%","0,49%","0,75%"
287,07/12/2020,748819,933132,60606,1742557,"0,97","12,34%","48,81%","38,41%",,-6487,-822,19638,-5451,528,-191,13720,-6429,"1,02","0,21%","0,82%","-0,82%","-0,23%","1,31%","0,79%"
288,08/12/2020,737525,958629,61240,1757394,"0,97","9,95%","48,10%","37,99%",,-11294,-5234,25497,635,634,-63,14842,-4663,"1,02","-0,71%","-0,08%","-0,42%","0,10%","-0,98%","-2,39%"
289,09/12/2020,710515,997895,61739,1770149,"0,97","10,77%","47,42%","37,71%",,-27010,-19765,39266,14329,499,-172,12756,-5613,"1,01","-0,68%","-0,04%","-0,28%","0,20%","-0,27%","0,82%"
290,10/12/2020,696527,1027994,62626,1787147,"0,96","9,91%","46,51%","37,38%",,-13988,-4923,30099,4215,887,232,16999,-480,"1,00","-0,90%","-0,29%","-0,33%","0,17%","-1,04%","-0,86%"
291,11/12/2020,690323,1052163,63387,1805873,"0,96","9,83%","45,67%","37,09%",,-6204,3422,24169,-1514,761,113,18727,2015,"0,99","-0,84%","-0,24%","-0,30%","0,19%","-0,90%","-0,07%"
292,12/12/2020,684848,1076891,64036,1825775,"0,95","10,13%","44,88%","36,34%",,-5475,4428,24728,-1070,649,3,19903,3355,"0,98","-0,79%","-0,32%","-0,75%","-0,23%","-0,51%","0,30%"
293,13/12/2020,686031,1093161,64520,1843712,"0,95","11,75%","44,35%","35,87%",,1183,11079,16270,-9397,484,-151,17938,1526,"0,98","-0,53%","0,08%","-0,47%","0,01%","1,08%","1,62%"
294,14/12/2020,675109,1115617,65011,1855737,"0,94","11,61%","44,40%","35,15%",,-10922,-392,22456,-3613,491,-138,12030,-4141,"0,97","0,05%","0,68%","-0,72%","-0,25%","1,05%","-0,13%"
295,15/12/2020,663313,1141406,65857,1870576,"0,94","9,03%","43,72%","34,11%",,-11796,-1194,25789,-322,846,186,14844,-1327,"0,97","-0,68%","-0,05%","-1,04%","-0,49%","-1,41%","-2,59%"
296,16/12/2020,645706,1175901,66537,1888144,"0,94","8,81%","43,01%","33,23%",,-17607,-8349,34495,9066,680,-5,17572,713,"0,96","-0,71%","-0,08%","-0,87%","-0,24%","-1,34%","-0,22%"
297,17/12/2020,635343,1203814,67220,1906377,"0,94","9,41%","42,26%","32,43%",,-10363,-1622,27913,2796,683,27,18236,1200,"0,96","-0,75%","-0,14%","-0,81%","-0,10%","-0,67%","0,60%"
298,18/12/2020,627798,1226086,67894,1921778,"0,94","10,01%","41,20%","32,02%",,-7545,1387,22272,-2574,674,30,17992,1061,"0,96","-1,05%","-0,41%","-0,41%","0,31%","-0,10%","0,60%"
299,19/12/2020,620166,1249470,68447,1938083,"0,94","9,26%","40,56%","31,62%",,-7632,1608,23384,-1270,553,-77,16308,-109,"0,95","-0,65%","-0,03%","-0,40%","0,28%","-0,72%","-0,75%"
300,20/12/2020,622760,1261626,68799,1953185,"0,94","10,99%","40,23%","31,16%",,2594,11633,12156,-11910,352,-259,15104,-908,"0,95","-0,33%","0,26%","-0,47%","0,21%","1,12%","1,73%"
301,21/12/2020,613582,1281258,69214,1964054,"0,94","12,37%","40,21%","31,02%",,-9178,-388,19632,-4031,415,-185,10872,-4975,"0,95","-0,02%","0,58%","-0,14%","0,45%","2,39%","1,38%"
302,22/12/2020,605955,1301573,69842,1977370,"0,94","8,44%","39,89%","30,52%",,-7627,567,20315,-2566,628,59,13318,-2311,"0,95","-0,32%","0,23%","-0,50%","0,01%","-1,45%","-3,93%"
303,23/12/2020,598816,1322067,70395,1991278,"0,94","7,90%","39,25%","29,80%",,-7139,-440,20494,-387,553,2,14522,-671,"0,94","-0,64%","-0,11%","-0,72%","-0,23%","-1,87%","-0,55%"
304,24/12/2020,593632,1344785,70900,2009317,"0,94","9,31%","38,49%","29,41%",,-5184,775,22718,2579,505,-21,18040,2875,"0,94","-0,76%","-0,22%","-0,40%","0,03%","-0,44%","1,41%"
305,25/12/2020,579886,1377109,71359,2028354,"0,95","12,50%","37,42%","29,35%",,-13746,-6901,32324,10749,459,-36,19037,3723,"0,94","-1,07%","-0,53%","-0,06%","0,32%","2,39%","3,19%"
306,26/12/2020,580943,1386213,71627,2038783,"0,95","12,79%","37,28%","29,30%",,1057,6660,9104,-10431,268,-186,10431,-4044,"0,94","-0,14%","0,32%","-0,05%","0,29%","2,17%","0,29%"
307,27/12/2020,581760,1394011,71925,2047696,"0,95","14,89%","37,69%","29,30%",,817,6674,7798,-11114,298,-149,8913,-4677,"0,94","0,41%","0,78%","0,00%","0,26%","3,71%","2,10%"
308,28/12/2020,575221,1408686,72370,2056277,"0,95","12,50%","38,27%","29,13%",,-6539,-1059,14675,-3529,445,-6,8585,-4679,"0,94","0,58%","0,85%","-0,17%","0,10%","1,31%","-2,39%"
309,29/12/2020,568728,1425730,73029,2067487,"0,95","8,72%","37,84%","28,95%",,-6493,-1175,17044,-693,659,204,11224,-1741,"0,94","-0,43%","-0,14%","-0,18%","0,04%","-2,51%","-3,78%"
310,30/12/2020,564395,1445690,73604,2083689,"0,95","9,58%","37,68%","28,71%",,-4333,584,19960,2300,575,117,16202,2997,"0,94","-0,15%","0,07%","-0,24%","-0,08%","-1,88%","0,87%"
311,31/12/2020,569896,1463111,74159,2107166,"0,96","12,62%","37,02%","29,02%",,5501,8892,17421,517,555,89,23477,9496,"0,95","-0,66%","-0,45%","0,31%","0,36%","0,68%","3,04%"
312,01/01/2021,574767,1479988,74621,2129376,"0,97","14,10%","36,49%","29,00%",,4871,5602,16877,2180,462,-4,22211,7776,"0,95","-0,53%","-0,39%","-0,02%","0,03%","1,93%","1,48%"
313,02/01/2021,577062,1489154,74985,2141201,"0,97","17,61%","36,69%","29,18%",,2295,2849,9166,-5540,364,-116,11831,-2804,"0,95","0,20%","0,28%","0,18%","0,20%","4,75%","3,51%"
314,03/01/2021,576214,1503900,75332,2155446,"0,98","13,83%","36,90%","29,34%",,-848,-56,14746,-952,347,-140,14245,-1151,"0,95","0,20%","0,32%","0,16%","0,15%","1,12%","-3,78%"
315,04/01/2021,570458,1520106,75680,2166244,"0,99","13,85%","37,28%","29,29%",,-5756,-5076,16206,289,348,-125,10800,-4913,"0,96","0,39%","0,53%","-0,05%","-0,07%","0,94%","0,01%"
316,05/01/2021,569161,1536129,76329,2181619,"0,99","11,38%","37,41%","29,18%",,-1297,-1359,16023,252,649,178,15378,-928,"0,96","0,12%","0,19%","-0,11%","-0,15%","-1,90%","-2,47%"
317,06/01/2021,568712,1556356,76877,2201945,"1,00","11,38%","37,06%","29,20%",,-449,-1066,20227,4418,548,80,20331,3435,"0,96","-0,35%","-0,26%","0,02%","-0,05%","-2,16%","0,00%"
318,07/01/2021,571055,1572015,77291,2220361,"1,00","14,86%","37,24%","29,38%",,2343,2177,15659,101,414,-33,18020,1903,"0,97","0,19%","0,16%","0,18%","0,13%","1,00%","3,47%"
319,08/01/2021,570389,1589590,77911,2237890,"1,00","12,50%","37,28%","29,38%",,-666,-41,17575,1918,620,150,17533,2085,"0,97","0,04%","-0,08%","0,00%","-0,06%","-1,13%","-2,36%"
320,09/01/2021,572842,1606630,78394,2257866,"1,00","11,61%","37,19%","29,45%",,2453,3056,17040,258,483,-4,19978,3366,"0,98","-0,08%","-0,16%","0,07%","0,03%","-1,17%","-0,89%"
321,10/01/2021,579932,1617804,78755,2276491,"1,00","13,33%","37,46%","29,70%",,7090,6559,11174,-5098,361,-128,18627,1389,"0,98","0,27%","0,19%","0,25%","0,20%","0,63%","1,72%"
322,11/01/2021,575979,1633839,79203,2289021,"1,01","13,67%","37,74%","30,01%",,-3953,-4742,16035,-213,448,-55,12532,-4954,"0,98","0,28%","0,22%","0,31%","0,20%","1,00%","0,34%"
323,12/01/2021,570040,1653404,79819,2303263,"1,01","10,05%","37,92%","29,94%",,-5939,-6065,19565,2811,616,117,14242,-3081,"0,99","0,17%","0,10%","-0,07%","-0,18%","-2,43%","-3,62%"
324,13/01/2021,564774,1673936,80326,2319036,"1,01","8,99%","37,62%","29,29%",,-5266,-4703,20532,3735,507,14,15774,-898,"0,99","-0,30%","-0,38%","-0,65%","-0,66%","-3,15%","-1,06%"
325,14/01/2021,561380,1694051,80848,2336279,"1,00","10,74%","36,95%","29,04%",,-3394,-2012,20115,2681,522,14,17246,684,"1,00","-0,66%","-0,62%","-0,25%","-0,20%","-0,82%","1,75%"
326,15/01/2021,558068,1713030,81325,2352423,"1,00","5,90%","36,52%","28,65%",,-3312,-1552,18979,1345,477,-11,16146,-218,"1,00","-0,43%","-0,32%","-0,40%","-0,29%","-4,71%","-4,84%"
327,16/01/2021,557717,1729216,81800,2368733,"1,00","6,24%","36,43%","28,62%",,-351,1810,16186,-1326,475,-12,16310,470,"1,00","-0,09%","0,02%","-0,02%","0,10%","-3,61%","0,34%"
328,17/01/2021,553374,1745726,82177,2381277,"0,99","5,94%","36,39%","28,43%",,-4343,-549,16510,-1765,377,-112,12545,-2426,"1,00","-0,04%","0,11%","-0,19%","-0,01%","-2,85%","-0,30%"
329,18/01/2021,547059,1760489,82554,2390102,"0,99","5,56%","36,59%","28,90%",,-6315,-2184,14763,-3330,377,-102,8825,-5616,"1,00","0,20%","0,37%","0,47%","0,62%","-2,07%","-0,38%"
330,19/01/2021,535524,1781917,83157,2400598,"0,98","4,13%","36,30%","28,25%",,-11535,-6604,21428,3069,603,126,10497,-3409,"1,00","-0,30%","-0,06%","-0,65%","-0,41%","-2,66%","-1,43%"
331,20/01/2021,523553,1806932,83681,2414166,"0,97","4,85%","35,93%","27,95%",,-11971,-6082,25015,6016,524,45,13571,-20,"1,00","-0,37%","-0,13%","-0,30%","-0,10%","-1,34%","0,72%"
332,21/01/2021,516568,1827451,84202,2428221,"0,97","5,26%","35,25%","27,46%",,-6985,-583,20519,1462,521,42,14078,939,"1,00","-0,68%","-0,43%","-0,49%","-0,26%","-0,15%","0,41%"
333,22/01/2021,502053,1855127,84674,2441854,"0,96","5,15%","34,68%","27,15%",,-14515,-6513,27676,7376,472,-6,13633,853,"0,99","-0,57%","-0,30%","-0,32%","-0,10%","-0,16%","-0,11%"
334,23/01/2021,498834,1871189,85162,2455185,"0,95","4,66%","34,22%","27,10%",,-3219,5193,16062,-4220,488,8,13331,977,"0,99","-0,46%","-0,15%","-0,05%","0,17%","-0,42%","-0,49%"
335,24/01/2021,499278,1882074,85461,2466813,"0,95","5,38%","34,07%","27,26%",,444,8172,10885,-8593,299,-170,11629,-594,"0,99","-0,15%","0,18%","0,16%","0,33%","0,38%","0,72%"
336,25/01/2021,491630,1897861,85881,2475372,"0,94","6,75%","34,26%","27,50%",,-7648,270,15787,-3838,420,-55,8562,-3624,"0,98","0,18%","0,52%","0,24%","0,44%","1,58%","1,37%"
337,26/01/2021,482417,1917117,86422,2485956,"0,94","4,13%","34,15%","26,94%",,-9213,-1626,19256,-58,541,75,10593,-1607,"0,98","-0,11%","0,20%","-0,56%","-0,37%","-1,03%","-2,61%"
338,27/01/2021,477969,1936289,86889,2501147,"0,94","5,18%","33,84%","26,72%",,-4448,2064,19172,692,467,9,15204,2771,"0,97","-0,31%","-0,01%","-0,23%","-0,05%","-0,04%","1,04%"
339,28/01/2021,474617,1953509,87381,2515507,"0,94","5,22%","33,22%","25,99%",,-3352,2641,17220,-788,492,38,14372,1897,"0,97","-0,61%","-0,32%","-0,73%","-0,52%","0,01%","0,04%"
340,29/01/2021,467824,1973388,87858,2529070,"0,94","5,05%","32,61%","25,78%",,-6793,-1903,19879,2985,477,22,13574,1108,"0,96","-0,61%","-0,31%","-0,20%","-0,01%","-0,14%","-0,16%"
341,30/01/2021,463352,1990152,88279,2541783,"0,95","4,27%","32,14%","25,19%",,-4472,597,16764,-231,421,-24,12715,337,"0,96","-0,48%","-0,18%","-0,59%","-0,32%","-0,87%","-0,78%"
342,31/01/2021,453968,2010548,88516,2553032,"0,95","5,27%","32,13%","25,16%",,-9384,-2911,20396,2043,237,-199,11252,-1073,"0,96","0,00%","0,27%","-0,03%","0,27%","0,15%","1,01%"
343,01/02/2021,447589,2024523,88845,2560957,"0,95","5,56%","32,40%","25,58%",,-6379,-87,13975,-4120,329,-94,7925,-4309,"0,95","0,26%","0,53%","0,42%","0,69%","0,61%","0,29%"
344,02/02/2021,437765,2043499,89344,2570608,"0,95","3,95%","32,49%","25,15%",,-9824,-3445,18976,921,499,82,9660,-2440,"0,95","0,09%","0,33%","-0,43%","-0,18%","-0,98%","-1,61%"
345,03/02/2021,434722,2059248,89819,2583790,"0,95","4,72%","32,09%","24,36%",,-3043,3135,15749,-1817,475,56,13189,1377,"0,95","-0,39%","-0,14%","-0,78%","-0,45%","-0,14%","0,77%"
346,04/02/2021,430277,2076928,90241,2597446,"0,95","5,06%","31,57%","24,43%",,-4445,1889,17680,49,422,13,13659,1948,"0,95","-0,52%","-0,29%","0,07%","0,29%","0,22%","0,33%"
347,05/02/2021,429118,2091923,90618,2611659,"0,95","5,26%","31,30%","24,33%",,-1159,4370,14995,-1939,377,-17,14218,2415,"0,95","-0,27%","-0,08%","-0,10%","0,11%","0,39%","0,20%"
348,06/02/2021,427034,2107061,91003,2625098,"0,95","4,76%","31,03%","23,97%",,-2084,3104,15138,-1563,385,-4,13442,1536,"0,95","-0,27%","-0,11%","-0,36%","-0,19%","-0,18%","-0,50%"
349,07/02/2021,427024,2118441,91273,2636738,"0,95","5,63%","30,81%","23,93%",,-10,3839,11380,-4033,270,-124,11641,-321,"0,95","-0,23%","-0,04%","-0,03%","0,14%","0,64%","0,87%"
350,08/02/2021,419604,2133523,91580,2644707,"0,95","5,52%","31,22%","24,34%",,-7420,-9759,15082,43434,307,1026,7969,34700,"0,95","0,42%","-0,28%","0,41%","-0,02%","0,54%","-0,11%"
351,09/02/2021,413967,2149350,92002,2655319,"0,96","3,88%","31,20%","24,34%",,-5637,-11997,15827,44139,422,1068,10612,33211,"0,95","-0,02%","-0,12%","0,00%","0,10%","-1,10%","-1,65%"
352,10/02/2021,410111,2165817,92338,2668266,"0,96","4,17%","30,83%","24,17%",,-3856,-12337,16467,45382,336,1044,12947,34090,"0,95","-0,37%","-0,31%","-0,17%","-0,05%","-0,73%","0,29%"
353,11/02/2021,405019,2185655,92729,2683403,"0,97","5,18%","30,29%","24,15%",,-5092,-13821,19838,49688,391,1080,15137,36947,"0,96","-0,54%","-0,67%","-0,02%","-0,03%","0,26%","1,01%"
354,12/02/2021,402174,2202077,93045,2697296,"0,97","4,84%","29,96%","23,80%",,-2845,-12816,16422,50374,316,1049,13893,38606,"0,95","-0,33%","-0,80%","-0,35%","-0,30%","-0,02%","-0,34%"
355,13/02/2021,401413,2216050,93356,2710819,"0,97","4,66%","29,58%","23,42%",,-761,-9917,13973,48777,311,1024,13523,39884,"0,96","-0,38%","-0,97%","-0,37%","-0,60%","-0,18%","-0,18%"
356,14/02/2021,402783,2225519,93577,2721879,"0,97","5,38%","29,50%","23,68%",,1370,-5084,9469,42949,221,916,11060,38781,"0,96","-0,08%","-0,87%","0,26%","-0,30%","0,58%","0,72%"
357,15/02/2021,398098,2237290,93835,2729223,"0,97","4,10%","29,61%","23,73%",,-4685,-6697,11771,39896,258,852,7344,34051,"0,96","0,11%","-0,53%","0,05%","-0,17%","-0,50%","-1,28%"
358,16/02/2021,393686,2251734,94171,2739591,"0,97","3,79%","29,52%","23,56%",,-4412,-8212,14444,39714,336,878,10368,32380,"0,95","-0,08%","-0,38%","-0,17%","-0,23%","-0,80%","-0,31%"
359,17/02/2021,388864,2268253,94540,2751657,"0,97","4,10%","29,22%","23,21%",,-4822,-9998,16519,41599,369,932,12066,32533,"0,96","-0,30%","-0,45%","-0,35%","-0,44%","-0,48%","0,31%"
360,18/02/2021,384501,2286029,94882,2765412,"0,97","4,77%","28,72%","23,23%",,-4363,-11430,17776,45036,342,967,13755,34572,"0,96","-0,50%","-0,72%","0,02%","-0,29%","0,25%","0,67%"
361,19/02/2021,382448,2303199,95235,2780882,"0,97","5,21%","28,51%","23,39%",,-2053,-10665,17170,47760,353,1007,15470,38102,"0,96","-0,21%","-0,73%","0,16%","-0,07%","0,64%","0,44%"
362,20/02/2021,384623,2315687,95486,2795796,"0,98","4,88%","28,34%","23,43%",,2175,-6092,12488,46014,251,954,14914,40876,"0,95","-0,17%","-0,72%","0,05%","-0,03%","0,27%","-0,33%"
363,21/02/2021,388895,2324633,95718,2809246,"0,98","5,36%","28,47%","23,78%",,4272,164,8946,40801,232,880,13450,41845,"0,96","0,13%","-0,44%","0,35%","0,31%","0,76%","0,48%"
364,22/02/2021,387903,2334968,95992,2818863,"0,98","5,64%","29,03%","24,06%",,-992,629,10335,37182,274,846,9617,38656,"0,96","0,56%","0,20%","0,27%","0,54%","0,82%","0,28%"
365,23/02/2021,387948,2347866,96348,2832162,"0,98","4,38%","29,25%","24,38%",,45,1493,12898,36347,356,891,13299,38731,"0,95","0,22%","0,46%","0,32%","0,74%","-0,52%","-1,26%"
366,24/02/2021,389433,2362465,96666,2848564,"0,99","4,83%","29,13%","24,50%",,1485,2897,14599,37487,318,905,16402,41289,"0,96","-0,12%","0,35%","0,12%","0,68%","-0,18%","0,45%"
367,25/02/2021,396143,2375318,96974,2868435,"1,00","5,62%","29,19%","24,63%",,6710,7944,12853,37584,308,914,19871,46442,"0,97","0,06%","0,35%","0,12%","0,60%","0,49%","0,80%"
368,26/02/2021,404664,2387032,97227,2888923,"1,00","6,30%","29,25%","24,92%",,8521,13291,11714,37322,253,883,20488,51496,"0,98","0,06%","0,30%","0,30%","0,68%","1,01%","0,68%"
369,27/02/2021,411966,2398352,97507,2907825,"1,01","5,86%","29,38%","25,17%",,7302,16687,11320,36833,280,874,18902,54394,"0,98","0,13%","0,28%","0,25%","0,68%","0,43%","-0,44%"
370,28/02/2021,422367,2405199,97699,2925265,"1,02","6,79%","29,80%","25,34%",,10401,22306,6847,32170,192,783,17440,55260,"0,98","0,43%","0,51%","0,17%","0,63%","1,16%","0,94%"
371,01/03/2021,424333,2416093,97945,2938371,"1,03","7,69%","30,56%","26,00%",,1966,19068,10894,31475,246,750,13106,51293,"0,99","0,76%","1,05%","0,66%","1,01%","1,76%","0,89%"
372,02/03/2021,430996,2426150,98288,2955434,"1,04","5,08%","31,29%","26,43%",,6663,19581,10057,30349,343,816,17063,50746,"1,03","0,73%","1,49%","0,43%","1,15%","-0,94%","-2,60%"